Year;ICD10 Code;ICD10 Diagnosis;Diagnosis Type;Metric;Sex;Value
2014/15;All codes;All admissions;All admissions;Number of admissions;;11011882
2014/15;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;;1713330
2014/15;C00-D48;All cancers;All cancers;Number of admissions;;1691035
2014/15;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;;611002
2014/15;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;;907157
2014/15;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;;1460719
2014/15;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;;88408
2014/15;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;;21715
2014/15;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;;29703
2014/15;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;;4625
2014/15;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;;6559
2014/15;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;;68257
2014/15;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;;15426
2014/15;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;;19125
2014/15;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;;26790
2014/15;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;;8245
2014/15;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;;43135
2014/15;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;;5880
2014/15;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;;121947
2014/15;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;;208759
2014/15;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;292146
2014/15;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;265514
2014/15;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;;37759
2014/15;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;105932
2014/15;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;;12166
2014/15;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;;13257
2014/15;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;;23659
2014/15;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;;40273
2014/15;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;;6739
2014/15;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;;167889
2014/15;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;;67991
2014/15;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;;11431
2014/15;All codes;All admissions;All admissions;Attributable number;;474600
2014/15;C00-D48;All cancers;All cancers;Attributable number;;158500
2014/15;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;;141500
2014/15;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;;130800
2014/15;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;;19900
2014/15;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;;70500
2014/15;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;;14000
2014/15;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;;19400
2014/15;C32;Larynx;Cancers which can be caused by smoking;Attributable number;;3700
2014/15;C53;Cervical;Cancers which can be caused by smoking;Attributable number;;700
2014/15;C67;Bladder;Cancers which can be caused by smoking;Attributable number;;26700
2014/15;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;;3700
2014/15;C16;Stomach;Cancers which can be caused by smoking;Attributable number;;3900
